frame_id,cluster_id,z_coordinate,normalized_intensity,classification
3,2,-0.1151515245,0.1647972502,1
3,2,-0.1147476584,0.5341820658,1
3,2,-0.1143884957,0.8797363335,1
3,2,-0.1142995656,0.9353156435,1
3,2,-0.06899878383,0.05972627886,1
3,2,-0.0687224865,0.2841645123,1
3,2,-0.06866592914,0.3214906739,1
3,2,-0.02294101752,0.2608247842,1
3,2,-0.02292249724,0.3147392741,1
3,2,0.02295702137,0.3055377907,1
3,2,0.02297869697,0.2316159303,1
3,2,0.06897597015,0.8189620504,1
3,2,0.06907359511,0.5369380362,1
3,2,0.1151372194,0.6642531319,1
,,,,
3,3,-0.159486562,0,0
3,3,-0.1594865322,2.33E-05,0
3,3,-0.1594863981,0.0001397315865,0
3,3,-0.1592141986,0.4096895424,0
3,3,-0.1590910405,0.4348485752,0
3,3,-0.1588063836,0.4809982539,0
3,3,-0.1587842554,0.4885302656,0
3,3,-0.1150627285,0.1569905631,0
3,3,-0.1146981865,0.303766204,0
3,3,-0.1143522859,0.435157585,0
3,3,-0.114266254,0.4620819211,0
3,3,-0.06899564713,0.2206070845,0
3,3,-0.06872101873,0.4169987998,0
3,3,-0.06866713613,0.4560903907,0
3,3,-0.02294424735,0.8939931467,0
3,3,-0.02292635851,1,0
3,3,0.02296436951,0.9820010806,0
3,3,0.02298812941,0.7831533937,0
3,3,0.06900927424,0.4177505778,0
3,3,0.06911545992,0.256770727,0
3,3,0.1152316183,0.3649583183,0
,,,,
4,0,-0.162081182,0.4394941065,1
4,0,-0.1616673917,0.6381127252,1
4,0,-0.1609732509,0.6879652382,1
4,0,-0.1603721529,0.4539474855,1
4,0,-0.1602910161,0.7357364009,1
4,0,-0.1596205831,0.7587510284,1
4,0,-0.1589616686,0.7738501941,1
4,0,-0.1587046534,0.4683076323,1
4,0,-0.1583141387,0.7890513689,1
4,0,-0.1576778144,0.8043522262,1
4,0,-0.157077387,0.5464887581,1
4,0,-0.1570524573,0.8218192416,1
4,0,-0.1564379781,0.8630877003,1
4,0,-0.1558340192,0.9023878153,1
4,0,-0.1555650532,0.7257216827,1
4,0,-0.1553043127,1,1
4,0,-0.1451006681,0.3075976609,1
4,0,-0.1446904987,0.378599947,1
4,0,-0.1437394172,0.6362935528,1
4,0,-0.143561244,0.6513795357,1
4,0,-0.1430004537,0.814877483,1
4,0,-0.1428851932,0.8117978262,1
4,0,-0.1425911784,0.9108327087,1
4,0,-0.1425335705,0.905924433,1
4,0,-0.1423914433,0.9563831488,1
4,0,-0.1423654407,0.9544867118,1
4,0,-0.1284656376,0.2072556425,1
4,0,-0.1280461848,0.3001646094,1
4,0,-0.1270226389,0.6073025512,1
4,0,-0.1268572807,0.6274464041,1
4,0,-0.1263159513,0.7994137073,1
4,0,-0.1262128204,0.7976311933,1
4,0,-0.1259607673,0.9039451622,1
4,0,-0.1259017885,0.8957397467,1
4,0,-0.1257677376,0.9533056068,1
4,0,-0.1257444024,0.9506300382,1
4,0,-0.1117102131,0.071713591,1
4,0,-0.1113105193,0.199244587,1
4,0,-0.1102602556,0.566658272,1
4,0,-0.1101091132,0.5937040528,1
4,0,-0.109593749,0.7793736258,1
4,0,-0.1095067412,0.783022968,1
4,0,-0.1092947051,0.8968165867,1
4,0,-0.1092382371,0.8890629859,1
4,0,-0.1091139391,0.948557782,1
4,0,-0.1090921611,0.9465906367,1
4,0,-0.09344930202,0.5148381906,1
4,0,-0.09331455082,0.548260909,1
4,0,-0.09283720702,0.7586791216,1
4,0,-0.09276553243,0.7680032522,1
4,0,-0.0925892368,0.8874066613,1
4,0,-0.092539303,0.8824118154,1
4,0,-0.09242720902,0.9435587063,1
4,0,-0.09240746498,0.9423692827,1
4,0,-0.07658530027,0.4617586471,1
4,0,-0.07646945864,0.501438282,1
4,0,-0.07607339323,0.7339827907,1
4,0,-0.07601188123,0.7479518912,1
4,0,-0.07584156096,0.872252226,1
4,0,-0.0758036226,0.875544995,1
4,0,-0.07570616901,0.9383128914,1
4,0,-0.07568958402,0.9390160274,1
4,0,-0.05976182595,0.1156801597,1
4,0,-0.05962208286,0.1437549132,1
4,0,-0.05927927047,0.265997197,1
4,0,-0.05922522768,0.2798946375,1
4,0,-0.05906694755,0.3452175528,1
4,0,-0.05903754011,0.3456145209,1
4,0,-0.05895544961,0.3776772132,1
4,0,-0.05894253775,0.3792200729,1
4,0,-0.04285799339,0.05373339345,1
4,0,-0.0427364707,0.08691443088,1
4,0,-0.04242578521,0.2421469699,1
4,0,-0.04238222912,0.2661263473,1
4,0,-0.04225048423,0.3406900308,1
4,0,-0.04222907871,0.3381904225,1
4,0,-0.04216546565,0.3749176123,1
4,0,-0.04215626791,0.3776341396,1
4,0,-0.02573270909,0.02738320544,1
4,0,-0.02550638653,0.2167753492,1
4,0,-0.02547725104,0.2516829437,1
4,0,-0.02538692206,0.3360365661,1
4,0,-0.02537383884,0.3303283974,1
4,0,-0.02533266321,0.3720448991,1
4,0,-0.025327418,0.3750964981,1
4,0,-0.008519379422,0.190209899,1
4,0,-0.008508664556,0.2330342946,1
4,0,-0.008474961855,0.3263727814,1
4,0,-0.008470321074,0.3220537539,1
4,0,-0.008455589414,0.3690608713,1
4,0,-0.00845393911,0.3724091918,1
4,0,0.008465645835,0.3695752871,1
4,0,0.008467202075,0.3659681726,1
4,0,0.008482943289,0.3133945852,1
4,0,0.008488012478,0.3123020243,1
4,0,0.008525191806,0.1980682406,1
4,0,0.008536917157,0.1628314256,1
4,0,0.0254328046,0.3665974983,1
4,0,0.02543716505,0.3627693055,1
4,0,0.02548745833,0.3043814868,1
4,0,0.0255039297,0.2972458265,1
4,0,0.02563131973,0.1572529888,1
4,0,0.02569598146,0.1107007702,1
4,0,0.04244901985,0.3634797732,1
4,0,0.04245581478,0.3594656801,1
4,0,0.04254471138,0.2960713482,1
4,0,0.04257886112,0.2801060929,1
4,0,0.04287222028,0.08421394161,1
4,0,0.04300411791,0,1
4,0,0.05951476842,0.8794881682,1
4,0,0.05953264609,0.8670159988,1
4,0,0.05967358872,0.703096762,1
4,0,0.05973776057,0.6357689855,1
4,0,0.0766364634,0.850545175,1
4,0,0.07666711509,0.8353651493,1
4,0,0.07687835395,0.6413569922,1
4,0,0.07697206736,0.5400619088,1
4,0,0.09381718189,0.8146824886,1
4,0,0.09386002272,0.7983891759,1
4,0,0.09415521473,0.5721095148,1
4,0,0.09428361803,0.434888192,1
4,0,0.1110559702,0.7735289398,1
4,0,0.1111130565,0.7563876905,1
4,0,0.1115058959,0.436232462,1
4,0,0.1118010655,0.2645396032,1
4,0,0.1283544749,0.727563273,1
4,0,0.1284277141,0.7098796911,1
4,0,0.1291298866,0.1339611499,1
4,0,0.1457142085,0.6774754414,1
4,0,0.145805791,0.6307694162,1
4,0,0.1635292172,0.2543271412,1
4,0,0.1637831777,0.08248521678,1
,,,,
4,1,-0.1621621102,0.2190461894,0
4,1,-0.1610033512,0.2971060105,0
4,1,-0.1604029238,0.2261719914,0
4,1,-0.160293892,0.3210922123,0
4,1,-0.1595966071,0.3442285027,0
4,1,-0.1594897807,0.007518930934,0
4,1,-0.159400925,0.2661749314,0
4,1,-0.1591282636,0.2644883987,0
4,1,-0.1582919657,0.3424590651,0
4,1,-0.1581346989,0.3332787072,0
4,1,-0.157382369,0.4003007338,0
4,1,-0.1572217792,0.390239261,0
4,1,-0.156922847,0.4367278322,0
4,1,-0.156825155,0.4267466792,0
4,1,-0.1564718336,0.4644931385,0
4,1,-0.1564363688,0.4559842611,0
4,1,-0.1561472416,0.4815267079,0
4,1,-0.1561153382,0.487763214,0
4,1,-0.1560894549,0.4860495229,0
4,1,-0.156069383,0.476557405,0
4,1,-0.1444950402,0.1283584492,0
4,1,-0.1440319866,0.1485646495,0
4,1,-0.1425896138,0.2664661932,0
4,1,-0.1423457116,0.2647783528,0
4,1,-0.1415975243,0.3428289132,0
4,1,-0.1414569318,0.3336383366,0
4,1,-0.1407839358,0.4007285788,0
4,1,-0.1406403035,0.3906564311,0
4,1,-0.1403728426,0.4371931151,0
4,1,-0.1402854472,0.4272019867,0
4,1,-0.1399694383,0.4649860057,0
4,1,-0.1399377137,0.4564685823,0
4,1,-0.1396790445,0.4820375185,0
4,1,-0.1396505386,0.4882802288,0
4,1,-0.1396273971,0.4865646825,0
4,1,-0.1396094114,0.4770632279,0
4,1,-0.1314898729,0.0001067027296,0
4,1,-0.131489858,0.0002134168639,0
4,1,-0.1314898431,0,0
4,1,-0.1314896941,0.001387266639,0
4,1,-0.1314896494,0.001485102185,0
4,1,-0.1280527711,0.1529984011,0
4,1,-0.1277115345,0.1867403831,0
4,1,-0.1268299669,0.3068333701,0
4,1,-0.1266845763,0.3134885366,0
4,1,-0.126165852,0.3916787214,0
4,1,-0.1260767281,0.3907619629,0
4,1,-0.1258135289,0.4363496815,0
4,1,-0.125773415,0.4343004478,0
4,1,-0.1256411523,0.4570462399,0
4,1,-0.1256204993,0.4568929906,0
4,1,-0.1114564687,0.08636174052,0
4,1,-0.1110955104,0.1411642974,0
4,1,-0.1101464555,0.2825313026,0
4,1,-0.1100068763,0.2928891466,0
4,1,-0.1095068902,0.3854378967,0
4,1,-0.1094253585,0.3825293235,0
4,1,-0.1092005819,0.4324933898,0
4,1,-0.1091616973,0.4283534091,0
4,1,-0.1090348363,0.4545942212,0
4,1,-0.1090168655,0.4554190727,0
4,1,-0.0943576619,0.07942960617,0
4,1,-0.09339620918,0.2573158525,0
4,1,-0.09326647967,0.2714676422,0
4,1,-0.09280046076,0.3719255326,0
4,1,-0.09272782505,0.3740314859,0
4,1,-0.09254043549,0.4285254534,0
4,1,-0.09250404686,0.4220175144,0
4,1,-0.09238623828,0.452045095,0
4,1,-0.09237097949,0.4534802064,0
4,1,-0.07657746971,0.2314897926,0
4,1,-0.07646178454,0.249433232,0
4,1,-0.07606915385,0.3548649872,0
4,1,-0.07600593567,0.3608052743,0
4,1,-0.07583163679,0.424448001,0
4,1,-0.07579893619,0.4158358727,0
4,1,-0.07569401711,0.449399804,0
4,1,-0.07568152249,0.4511749287,0
4,1,-0.05978177115,0.1699511641,0
4,1,-0.05963326246,0.2192781009,0
4,1,-0.05929149315,0.3341308388,0
4,1,-0.0592350997,0.3439930784,0
4,1,-0.0590727292,0.4182318409,0
4,1,-0.05904503539,0.4115235739,0
4,1,-0.05895668641,0.446660173,0
4,1,-0.0589469485,0.448762416,0
4,1,-0.04288913682,0.0886358757,0
4,1,-0.04275807738,0.1596159775,0
4,1,-0.0424429439,0.3119549794,0
4,1,-0.04239743203,0.3260454573,0
4,1,-0.04226220399,0.4075364775,0
4,1,-0.04224077985,0.4071019722,0
4,1,-0.04217284918,0.4438272665,0
4,1,-0.04216586053,0.4462434287,0
4,1,-0.02575396374,0.2059515732,0
4,1,-0.02552176826,0.6564100334,0
4,1,-0.02549130283,0.6992866785,0
4,1,-0.0253985133,0.894890041,0
4,1,-0.02538467199,0.9081722118,0
4,1,-0.02534099668,0.9966130057,0
4,1,-0.02533679083,1,0
4,1,-0.008526219055,0.5799810747,0
4,1,-0.008515005,0.6556309834,0
4,1,-0.008480156772,0.8677643428,0
4,1,-0.008475215174,0.8858715998,0
4,1,-0.008459678851,0.9892829524,0
4,1,-0.008458274417,0.9962929431,0
4,1,0.008471201174,0.9895672497,0
4,1,0.008472609334,0.9816493202,0
4,1,0.00848913379,0.8622305206,0
4,1,0.008494406939,0.8391001911,0
4,1,0.008533197455,0.5785210857,0
4,1,0.008547240868,0.4854698885,0
4,1,0.02545313537,0.982440657,0
4,1,0.02545737475,0.9737198339,0
4,1,0.02550991811,0.8373880814,0
4,1,0.02552674524,0.8091043309,0
4,1,0.02568325773,0.457200067,0
4,1,0.02575720288,0.2401042779,0
4,1,0.04248907045,0.9749228969,0
4,1,0.04249935597,0.9637536743,0
4,1,0.04259618372,0.8083945,0
4,1,0.04263869673,0.7496913023,0
4,1,0.04297529906,0.2257822078,0
4,1,0.05958345532,0.4289157691,0
4,1,0.05960381776,0.4214271748,0
4,1,0.05976667255,0.3290874507,0
4,1,0.05983362347,0.2976053251,0
4,1,0.07674138993,0.4277554967,0
4,1,0.07677054405,0.4118365504,0
4,1,0.07701524347,0.3040254323,0
4,1,0.07711100578,0.2647381168,0
4,1,0.09396184981,0.4262549677,0
4,1,0.09400116652,0.3998850843,0
4,1,0.09434389323,0.2514882442,0
4,1,0.09457271546,0.1239192994,0
4,1,0.1112465262,0.4244036898,0
4,1,0.111297369,0.3856962216,0
4,1,0.1119219884,0.1270849049,0
4,1,0.1285970658,0.4170577003,0
4,1,0.1286608279,0.3714593069,0
4,1,0.1459385157,0.4047640921,0
4,1,0.1460136771,0.3645888189,0
,,,,
4,2,-0.162367776,0,1
4,2,-0.1596993804,0.9225666461,1
4,2,-0.1594885439,0.9585268092,1
4,2,-0.1592841893,0.9654102436,1
4,2,-0.1590863764,0.9773476492,1
4,2,-0.1589002311,1,1
4,2,-0.1151515245,0.1647972502,1
4,2,-0.1147476584,0.5341820658,1
4,2,-0.1143884957,0.8797363335,1
4,2,-0.1142995656,0.9353156435,1
4,2,-0.06899878383,0.05972627886,1
4,2,-0.0687224865,0.2841645123,1
4,2,-0.06866592914,0.3214906739,1
4,2,-0.02294101752,0.2608247842,1
4,2,-0.02292249724,0.3147392741,1
4,2,0.02295702137,0.3055377907,1
4,2,0.02297869697,0.2316159303,1
4,2,0.06897597015,0.8189620504,1
4,2,0.06907359511,0.5369380362,1
4,2,0.1151372194,0.6642531319,1
,,,,
4,3,-0.159486562,0,0
4,3,-0.1594865322,2.33E-05,0
4,3,-0.1594863981,0.0001397315865,0
4,3,-0.1592141986,0.4096895424,0
4,3,-0.1590910405,0.4348485752,0
4,3,-0.1588063836,0.4809982539,0
4,3,-0.1587842554,0.4885302656,0
4,3,-0.1150627285,0.1569905631,0
4,3,-0.1146981865,0.303766204,0
4,3,-0.1143522859,0.435157585,0
4,3,-0.114266254,0.4620819211,0
4,3,-0.06899564713,0.2206070845,0
4,3,-0.06872101873,0.4169987998,0
4,3,-0.06866713613,0.4560903907,0
4,3,-0.02294424735,0.8939931467,0
4,3,-0.02292635851,1,0
4,3,0.02296436951,0.9820010806,0
4,3,0.02298812941,0.7831533937,0
4,3,0.06900927424,0.4177505778,0
4,3,0.06911545992,0.256770727,0
4,3,0.1152316183,0.3649583183,0
,,,,
5,0,-0.162081182,0.4394924874,1
5,0,-0.161667347,0.638111753,1
5,0,-0.1609732062,0.6879641813,1
5,0,-0.1603721529,0.4539458826,1
5,0,-0.1602910161,0.7357351159,1
5,0,-0.1596205831,0.7587497693,1
5,0,-0.1589616686,0.7738489521,1
5,0,-0.1587046534,0.4683060456,1
5,0,-0.1583141387,0.789050144,1
5,0,-0.1576777995,0.8043511596,1
5,0,-0.1570773274,0.5464876121,1
5,0,-0.1570524722,0.8218179127,1
5,0,-0.1564379781,0.8630865589,1
5,0,-0.1558340192,0.9023867182,1
5,0,-0.1555651128,0.7257199633,1
5,0,-0.155304268,1,1
5,0,-0.1451006681,0.3075977258,1
5,0,-0.1446904987,0.3785997043,1
5,0,-0.1437394768,0.6362922966,1
5,0,-0.143561244,0.651378367,1
5,0,-0.1430004537,0.8148764282,1
5,0,-0.1428852081,0.8117966269,1
5,0,-0.1425911486,0.9108321851,1
5,0,-0.1425335258,0.9059243973,1
5,0,-0.1423914284,0.9563822536,1
5,0,-0.1423654407,0.9544856735,1
5,0,-0.1284656376,0.2072557353,1
5,0,-0.1280461699,0.3001643487,1
5,0,-0.1270226389,0.6073016853,1
5,0,-0.1268572807,0.6274453494,1
5,0,-0.1263159215,0.79941334,1
5,0,-0.1262128055,0.7976301896,1
5,0,-0.1259607673,0.9039442078,1
5,0,-0.1259017885,0.8957387831,1
5,0,-0.1257676929,0.9533052017,1
5,0,-0.1257443726,0.9506294891,1
5,0,-0.1117102131,0.07171428874,1
5,0,-0.1113105193,0.1992448646,1
5,0,-0.1102602556,0.5666577832,1
5,0,-0.1101090759,0.5937037355,1
5,0,-0.1095937565,0.7793727424,1
5,0,-0.1095067039,0.7830226527,1
5,0,-0.1092946753,0.8968159769,1
5,0,-0.1092382073,0.8890624378,1
5,0,-0.1091139168,0.9485570895,1
5,0,-0.1090921611,0.9465895895,1
5,0,-0.09344926476,0.5148422257,1
